Name,Country,Episodes,Score,Number_of_rates,Description,Genres,Tag,Director,Screenwriter
Search: WWW,South Korea ,16,8.4,"22,238","This drama is about the conflicts, the wins, and losses one experiences when working. It will follow the story of 21st century women, who chose not to be a wife or a mother and successfully work without discrimination or impediments.

Bae Ta Mi works as a director for a big web portal company. She is in her late 30's and is quite competitive. With her competitiveness, Ta Mi enjoys success. The methods she uses to win has her wondering if she is doing the right thing with her life. Has she sacrificed too much of her personal life for success?

Park Mo Gun is a man in his 20's and is a gifted composer. He creates music for video games. Mo Gun meets Ta Mi at an arcade. He falls in love with her due to her competitive spirit.

(Source:  Koreandrama.org and AsianWiki)","Business,  Comedy,  Romance,  Drama ",Successful Female Lead Smart Female Lead Strong Female Lead Independent Female Lead Sismance Social Media Older Woman/Younger Man Teamwork Competition Smart Male Lead,"Jung Ji Hyun,  Kwon Young Il ",Kwon Do Eun 
You Who Came from the Stars: Epilogue,South Korea ,1,8.4,"1,289",An epilogue containing some perks and information not included in earlier episodes. ,Romance ,," As:  You Who Came From the Stars: Episode 22 ,   Directors Cut Epilogue ,    ",
E.M.S Earth - Mix Space Season 1,Thailand ,21,8.4,271,"E.M.S is a show that follows Earth Pirapat and Mix Sahaphap in a series of activity in their *space* together!

(Source: MyDramaList) ",Comedy ,Variety Show Reality Show Friendship,Van Phattarapon Poonpipat ,
Mad Dog,South Korea ,16,8.4,"11,342","Choi Kang Woo, who is a former police and leader of Taeyang Insurance's investigators team, decides to create his own investigation team, after an airplane crash that took the life of his wife and son. He then meets Kim Min Joon, a genius former swindler whose brother was also a victim of the crash, thus begin their rivalry and cooperation.

The drama portrays the reality of Korea through diverse insurance crimes that are prevalent in the country. There are the 'copy cats' that imitate and improve the existing crimes, and the 'mad dogs' who catch these bad cats.

(Source: Wikipedia, KBS World)","Action,  Thriller,  Mystery ",Revenge Tragic Past Enemy Mine Corruption Strong Female Lead Teamwork Fraud Investigation Bromance Rich Male Lead,Hwang Eui Kyung ,Kim Soo Jin 
Pinocchio,South Korea ,20,8.4,"60,372","The idealistic Choi In Ha has her work cut out for her when she becomes a broadcast reporter, especially when she suffers from a condition known as “Pinocchio syndrome,” which makes her break out into hiccups whenever she tells a lie. Her rookie colleagues include Choi Dal Po, whose shabby appearance masks his true eloquence and sharp memory; Seo Bum Jo, a wealthy heir who has had everything handed to him in life; and Yoon Yoo Rae, whose fangirl knowledge comes in handy in covering the news. The 20-something newbie reporters pursue justice as they try to discover themselves in the process.

(Source: SBS World YouTube)","Thriller,  Mystery,  Comedy,  Romance ",Tragic Past Hidden Identity Double Identity Journalism Adopted Siblings Love Cohabitation Revenge Wrongfully Accused Bromance News Media,Jo Soo Won ,Park Hye Ryun 
Extraordinary You,South Korea ,32,8.4,"46,631","What would you do if you found out that you were, in fact, a character in a comic? And an extra character on top of that? Change the course of the story, obviously!

Eun Dan Oh is a 17-year-old high-school student from a wealthy family who suffers from a lifelong heart condition that inevitably means she will not live past her teenage years. However, when Dan Oh realizes she is experiencing long gaps in her memory as well, she comes into the unhappy realization of another fact in her life: she is a character in a Korean webtoon and all of her actions are predetermined by the artist who draws her. 

To make matters worse, she discovers she is only a supporting character in the cast. With her newfound understanding of the world she inhabits, she is determined to find true love in her own plot-line and circumvent the author’s plans for her character by utilizing the flashes of storyboard she alone is able to see.

(Source: onehallyu)

~~ Adapted from the webtoon ""July Found by Chance” (어쩌다 발견한 7월) by Moo Ryoo (무류).
~~ Two versions available: 32 episodes (TV) || 16 episodes (online)","Comedy,  Romance,  Youth,  Fantasy ",Sassy Female Lead Nice Male Lead Adapted From A Webtoon High School Illness Height Difference Love Triangle Character Development Strong Female Lead Amnesia,"Kim Sang Hyub,  Kim Sang Woo ","In Ji Hye,  Song Ha Young "
BTS ‘Life Goes On’ Comeback,South Korea ,1,8.4,361,"BE Comeback Show, the members go through the tracks explaining their thoughts + special feature from Yoongi ","Music,  Documentary ",Livestreaming K-Pop BTS Friendship,,
Sh**ting Stars,South Korea ,16,8.4,"23,617","As one of the nation’s most beloved stars, Gong Tae Sung is used to living his life in the spotlight. With the eyes of the world constantly on him, Tae Sung does his best to keep a smile on his face and his temper in check. Seen by the people as a kind and polite young man, the only people who don’t buy into his whole good guy persona are those working for his management company.

As the head of that company’s PR team, Oh Han Byeol knows exactly what Tae Sung is really like. Well aware of his strong desire to win and his hot temper, Han Byeol has had to employ her excellent speech and crisis management skills on a number of occasions, in order to keep Tae Sung’s reputation as spotless as it seems. Constantly bickering, there isn’t anyone in the world better suited to the role of natural enemies than Han Byeol and Tae Sung. 

Forever at odds with each other, Tae Sung and Han Byeol seem destined to hate each other forever. But could the time they’re forced to spend together change those feelings or will their mutual loathing last for all eternity?

(Source: Viki)","Comedy,  Romance,  Drama ",Entertainment Industry Famous Male Lead Multiple Mains Enemies To Lovers Love/Hate Relationship Multiple Couples Actor Male Lead PR Specialist Female Lead Actor/Actress Supporting Character Reporter Female Lead,Lee Soo Hyun ,"Choi Young Woo,  Choi Yeon Seo "
HiGH&LOW the Movie 3: FINAL MISSION,Japan ,,8.4,938,"In order to conceal past corruption by the government, the Kyuryu group proceeds on a plan to destroy a street and build a casino. To stop the Kyuryu group, members of SWORD begin to move.

(Source: AsianWiki) ","Action,  Crime,  Youth ",Badass Male Lead Mafia Multiple Mains Street Fight Gang Yakuza Bromance Friendship,"Kubo Shigeaki,  Nakakuki Tsuyoshi ","Kamijo Daisuke,  Hiranuma Norihisa,  Watanabe Kei "
Youth With You Season 2,China ,24,8.4,"1,462","Cai Xu Kun was the center in ""Idol Producer,"" making his debut in the group, 9 Percent. In this upcoming season, Cai Xu Kun replaces Lay as the PD. The mentors for this season are: Lisa (from girl group Blackpink) , Ella (from girl group S.H.E), and Jony J. There will also be ""X Mentors"" which are unknown guests. Since season 1 was only male trainees, season 2 will be only female trainees. Trainees are from different entertainment groups and SNH48 group. Only nine from the 109 trainees will be selected through viewers' votes and debut as a group. At the end of the show, the top nine contestants debuted as THE NINE, also known as  THE9.","Music,  Youth ",Survival Show Character Development Competition Friendship Singing Dance Rap C-Pop THE9 (Girl Group) S.H.E,,
Military Prosecutor Doberman,South Korea ,16,8.4,"6,894","Do Bae Man became military prosecutor only to make more money and be successful. On the other hand, Cha Woo In, recently joining Bae Man’s team, became one for her revenge. As these two different purposes shows, the two have very different backgrounds and personalities. However, as they work on the same case, Bae Man and Woo In help each other and even grow together as fine military prosecutors.

(Source: CJ ENM) ","Action,  Military,  Mystery,  Law ",Military Abuse Dog Investigation Death Of A Mother Prosecutor Female Lead Prosecutor Male Lead Death Of A Father Money-Hungry Male Lead Successful Male Lead Evil Parental Figure,Jin Chang Gyu ,Yoon Hyun Ho 
Midnight,South Korea ,,8.4,"8,218","A life-threatening hide-and-seek between a psychopathic killer and a deaf woman

Kyeong Mi, a girl with hearing impairment lives with her mother. Working at the customer call center, one day she storms out of an unpleasant dinner with the client and drives home after she picks up her mother. Meanwhile, the murderer Do Shik spots Kyeong Mi's mother waiting for her daughter who went to park her car but changes his target when another girl So Jung passes him by talking on the phone. So Jung gets stabbed by Do Shik in the back alley and is found by Kyeong Mi, who ends up becoming Do Shik’s new prey.

(Source: HanCinema)","Action,  Thriller,  Mystery ",Murder Mother-Daughter Relationship Investigation Suspense Strong Female Lead Psychological Smart Female Lead Serial Killer Male Lead Age Gap [Drama Life] Age Gap [Real Life],er & Director: Kwon Oh Seung ,
Partners for Justice,South Korea ,32,8.4,"5,386","Baek Beom has worked as a forensic doctor for 10 years. He is excellent at his work but does not open his mind to other people. Eun Sol is a rookie prosecutor with a  bright personality, and she comes from a wealthy family. The forensic scientist with a bad personality and a warm-hearted prosecutor must join forces in order to catch a serial killer.

(Source: MyDramaList) ","Thriller,  Mystery,  Law,  Medical ",Forensic Medical Examiner Male Lead Prosecutor Female Lead Forensic Science Lieutenant Supporting Character Serial Killer Supporting Character Criminal Supporting Character Age Gap [Drama Life] Age Gap [Real Life] Warm Female Lead Flashback To Past,Noh Do Cheol ,"Min Ji Eun,  Won Young Shil "
Two Kids Room Season 2,South Korea ,10,8.4,215,,"Music,  Comedy,  Life ",Roommates' Relationship Stray Kids K-Pop Variety Show Talk Show Friendship,,
My Dear Youth - Coffee Prince,South Korea ,2,8.4,584,"My Dear Youth - Coffee Prince takes us back to 2007 in the hit drama ""Coffee Friends."" The cast of ""Coffee Prince,"" Gong Yoo, Yoon Eun Hye, Chae Jung An, Kim Dong Uck, Lee Sun Kyun, and Kim Jae Uck all get invited back and get interviewed while watching scenes from ""Coffee Prince."" Watch their reactions as they experience their stroll down memory lane and listen to how unforgettable that time was with each other. 

(Source: Viu)",Documentary ,Miniseries,,
My Country: The New Age,"n As:  My Nation ,  Naui Nara ,  My Country  ",16,8.4,"7,534","Set during the end of the Goryeo period to the early Joseon period. Two friends aim their swords against one another due to differences in opinion about ""my country.""
Seo Hwi is a warrior. His father Seo Geom is a famous commander. Seo Hwi does not compromise when it comes to injustice. His life devolves into a hellish existence, but he still holds a smile.
Nam Sun Ho is smart and a talented figure. Because his mother was born into the lowest class, Nam Sun Ho is looked down upon by other people. He wants to pass the military service examination. Due to a corruption scandal involving his father, Nam Sun Ho loses his dream. Making things worse, he comes into conflict with Seo Hwi over a misunderstanding.

(Source: AsianWiki)","Action,  Historical,  Romance,  Drama ",Friendship Multiple Mains Bromance Joseon Dynasty Strong Male Lead Power Struggle War Smart Female Lead First Love Evil Parental Figure,Kim Jin Won ,Chae Seung Dae 
